order_id,order_date,customer_id,product_id,quantity,discount_percent
1,2022-12-27,486,92,5,15
2,2023-04-04,410,92,4,10
3,2022-09-05,27,59,3,30
4,2023-07-20,1053,13,5,5
5,2023-11-04,271,41,4,0
6,2023-02-26,686,12,2,5
7,2022-01-15,501,50,1,20
8,2023-07-27,385,104,3,10
9,2022-05-02,60,57,4,5
10,2022-10-04,1131,50,3,10
11,2023-07-12,220,119,1,0
12,2023-03-29,771,57,1,0
13,2023-01-25,564,54,1,5
14,2022-10-21,546,66,5,10
15,2023-07-28,96,8,3,15
16,2023-08-21,989,106,5,20
17,2023-03-22,1113,63,1,30
18,2022-07-29,828,9,4,5
19,2023-08-13,231,60,1,15
20,2022-10-29,968,120,5,0
21,2022-08-11,275,114,1,0
22,2022-01-03,246,63,1,0
23,2023-06-02,111,72,5,5
24,2022-04-03,234,115,5,0
25,2023-06-04,417,3,4,5
26,2023-03-04,678,73,5,10
27,2023-05-08,1152,13,4,5
28,2022-08-23,803,9,2,10
29,2023-09-12,619,95,2,5
30,2022-06-10,1152,89,5,0
31,2022-11-27,707,52,1,0
32,2022-11-29,851,108,3,0
33,2022-02-19,475,62,1,0
34,2023-06-07,655,119,5,10
35,2023-10-30,395,109,4,15
36,2023-05-07,111,8,1,5
37,2023-08-05,90,111,2,5
38,2023-11-12,763,95,5,20
39,2022-09-29,1125,45,1,0
40,2023-08-03,132,53,1,0
41,2022-09-09,1037,109,4,10
42,2023-07-14,457,63,4,10
43,2023-11-27,98,95,4,10
44,2023-11-30,1144,81,3,15
45,2022-03-31,293,111,5,0
46,2023-03-22,1025,57,5,5
47,2022-11-28,572,54,2,0
48,2022-05-19,250,19,2,15
49,2022-12-23,652,67,5,20
50,2023-08-24,149,46,1,5
51,2022-10-01,44,94,5,0
52,2022-01-19,1068,10,3,5
53,2022-11-07,1102,113,2,0
54,2022-06-03,162,93,2,5
55,2023-01-25,253,104,2,10
56,2022-09-17,132,18,5,40
57,2023-09-12,474,12,2,5
58,2023-07-25,1133,49,2,0
59,2022-05-05,706,23,5,0
60,2022-12-20,1059,62,1,0
61,2022-09-30,275,11,2,0
62,2023-09-11,187,73,2,15
63,2022-09-02,949,118,2,0
64,2023-03-26,243,56,3,40
65,2022-09-04,264,88,5,10
66,2023-06-04,522,89,2,10
67,2022-05-21,963,55,3,5
68,2022-12-28,783,25,1,15
69,2022-01-08,1111,111,1,10
70,2023-04-23,535,9,3,5
71,2022-12-18,210,12,1,5
72,2023-05-10,46,11,4,30
73,2023-08-29,26,113,1,5
74,2023-03-03,175,38,4,5
75,2022-02-08,322,28,3,5
76,2023-08-16,1159,8,4,0
77,2022-07-06,55,74,1,0
78,2023-08-19,1180,89,2,0
79,2023-08-23,668,47,4,15
80,2022-04-03,147,36,1,5
81,2022-03-27,599,50,2,15
82,2022-02-13,20,107,3,15
83,2022-05-17,333,9,3,0
84,2023-02-25,907,105,5,10
85,2022-03-15,944,60,3,15
86,2023-07-02,911,72,5,10
87,2023-09-05,401,67,3,10
88,2023-05-27,950,53,3,15
89,2022-06-05,28,82,3,0
90,2022-09-12,467,110,5,15
91,2022-06-20,982,99,5,5
92,2022-06-19,101,17,4,10
93,2022-11-18,551,100,1,0
94,2023-07-21,802,53,1,20
95,2023-04-01,353,28,1,10
96,2023-08-26,296,114,3,10
97,2023-09-05,353,63,1,15
98,2022-06-04,908,15,5,20
99,2022-12-15,1154,19,4,15
100,2023-03-27,1019,86,2,0
101,2023-10-15,1180,70,4,20
102,2022-06-22,1098,47,1,10
103,2022-01-10,1114,71,1,10
104,2022-09-22,455,108,5,30
105,2023-03-14,712,48,4,0
106,2022-09-04,980,73,5,0
107,2023-10-29,739,20,5,10
108,2023-06-30,977,37,2,15
109,2023-05-14,233,75,5,5
110,2022-05-09,1024,2,5,10
111,2023-11-03,102,64,2,10
112,2023-08-24,953,86,3,10
113,2023-08-28,481,112,3,20
114,2022-11-23,108,36,2,0
115,2023-02-08,1189,5,5,15
116,2023-09-21,973,64,1,15
117,2023-08-29,704,7,4,5
118,2023-11-06,335,70,1,5
119,2023-09-03,86,120,1,0
120,2023-09-17,734,22,5,15
121,2022-12-25,875,74,4,5
122,2023-08-26,364,46,4,5
123,2022-01-17,60,40,3,5
124,2022-10-01,560,61,2,10
125,2023-11-16,117,110,5,15
126,2022-04-26,874,46,4,15
127,2023-11-24,915,84,5,5
128,2022-04-01,968,28,3,15
129,2022-03-23,999,87,1,15
130,2022-11-20,44,35,4,5
131,2022-04-24,509,1,3,0
132,2022-02-27,1189,29,5,20
133,2022-06-03,849,9,3,15
134,2023-02-08,917,9,3,10
135,2023-09-20,898,22,3,0
136,2022-09-23,799,63,3,20
137,2022-11-11,876,66,3,10
138,2022-02-10,286,80,3,20
139,2022-04-15,684,104,2,40
140,2022-07-12,819,58,5,30
141,2023-02-05,121,70,1,20
142,2022-10-05,945,55,5,0
143,2022-12-20,1018,13,4,20
144,2023-08-03,907,97,4,0
145,2022-09-13,13,19,5,20
146,2023-10-13,603,79,3,5
147,2023-10-23,200,33,2,10
148,2022-04-09,586,74,1,0
149,2023-08-11,448,65,3,15
150,2022-10-09,841,60,5,0
151,2023-02-07,1095,12,5,5
152,2022-04-19,590,43,2,20
153,2023-12-01,1154,93,2,15
154,2022-07-18,889,17,5,0
155,2022-10-30,43,68,3,5
156,2022-11-23,520,29,3,0
157,2022-06-03,1037,55,3,15
158,2023-07-06,725,7,1,30
159,2023-10-07,623,44,1,15
160,2023-02-09,988,77,3,0
161,2023-04-07,803,5,5,5
162,2022-05-12,535,60,2,40
163,2022-03-25,302,6,4,0
164,2023-02-03,527,98,2,10
165,2023-09-20,1139,117,2,5
166,2022-04-19,460,7,4,15
167,2022-08-09,832,46,3,20
168,2023-07-07,505,57,2,5
169,2023-01-03,932,54,4,15
170,2022-05-27,325,92,5,10
171,2022-04-22,579,46,5,5
172,2023-09-07,761,10,5,5
173,2023-07-12,1199,4,3,10
174,2023-05-09,851,67,2,0
175,2023-05-20,1196,25,2,20
176,2023-04-20,960,87,1,0
177,2022-09-28,502,91,5,0
178,2023-02-25,334,78,3,5
179,2023-01-02,284,61,4,0
180,2022-10-07,475,38,3,10
181,2022-10-10,1078,32,2,5
182,2022-02-09,632,23,5,15
183,2022-07-08,703,111,1,30
184,2022-06-13,409,104,3,15
185,2023-06-20,982,37,1,0
186,2023-06-20,559,3,2,30
